brd_cd,sap_cd,account_nm_cn,출고율,account_id
,,,0.441410082,평균
MLB KIDS,8000002,深圳有盈贸易有限公司,0.423023743,D032
MLB KIDS,8000003,常春藤(广州)投资有限公司,0.42000002,D027
MLB KIDS,8000004,厦门百轮服饰有限公司,0.420000044,D028
MLB KIDS,8000005,厦门时韫商贸有限公司,0.417041696,D019
MLB KIDS,8000006,重庆渲格商贸有限公司,0.420000026,D014
MLB KIDS,8000007,杭州宇振商业有限公司,0.437981836,D012
MLB KIDS,8000008,云南欧隆贸易有限公司,0.420000005,
MLB KIDS,8000009,成都市宝康服饰商贸有限公司,0.428126669,D011
MLB KIDS,8000011,江西朝明潮贸易有限公司,0.420000006,D020
MLB KIDS,8000014,依梵(上海)品牌管理有限公司,0.421649444,D003
MLB KIDS,8000015,上海凌博商贸有限公司,0.581213514,D001
MLB KIDS,8000017,沈阳瑞元禾商贸有限公司,0.43084002,D023
MLB KIDS,8000018,华初壹通国际贸易有限公司,0.420793801,D025
MLB KIDS,8000023,山西凌皓国际贸易有限公司,0.421057392,D021
MLB KIDS,8000026,武汉摩顶贸易有限公司,0.426253194,D016
MLB KIDS,8000027,沈阳固孚固贸易有限公司,0.41999999,D008
MLB KIDS,8000028,河南金安芯商贸有限公司,0.415865767,D002
MLB KIDS,8000029,西安纳霁动力商贸有限公司,0.420000015,D005
MLB KIDS,8000030,哈尔滨麟嘉商贸有限公司,0.420000015,D004
MLB KIDS,8000034,北京晶睿贸易发展有限公司,0.442003764,D006
MLB KIDS,8000060,江苏骏溪网络科技有限公司,0.420232227,D039
MLB KIDS,8000155,北京蓝梦宇其贸易有限公司,0.420000005,D046
MLB KIDS,8000181,长沙市珀御商贸有限公司,0.420000028,D048
MLB KIDS,8000187,江苏苏豪国际集团股份有限公司,0.420000008,D051
MLB KIDS,8000270,南宁市菲诺电子科技有限公司,0.435682602,D063
MLB KIDS,8000310,北京绮妙科技有限公司,0.420000022,D070
MLB KIDS,8000385,云南恒磐商贸有限公司,0.422081919,D072
MLB KIDS,8000413,山东德峻丰品牌管理有限公司,0.419999991,D073
MLB KIDS,8000421,乌鲁木齐雏鹰浩涵商贸有限公司,0.42000008,D074
MLB,8000001,深圳市普洛狮贸易有限公司,0.44924652,D026
MLB,8000002,深圳有盈贸易有限公司,0.440285585,D032
MLB,8000003,常春藤(广州)投资有限公司,0.439634008,D027
MLB,8000004,厦门百轮服饰有限公司,0.43314127,D028
MLB,8000005,厦门时韫商贸有限公司,0.433829727,D019
MLB,8000006,重庆渲格商贸有限公司,0.435974162,D014
MLB,8000007,杭州宇振商业有限公司,0.438383664,D012
MLB,8000008,云南欧隆贸易有限公司,0.438624842,
MLB,8000009,成都市宝康服饰商贸有限公司,0.438341051,D011
MLB,8000010,成都莱恒商贸有限公司,0.437948094,D031
MLB,8000011,江西朝明潮贸易有限公司,0.435491061,D020
MLB,8000014,依梵(上海)品牌管理有限公司,0.4382599,D003
MLB,8000015,上海凌博商贸有限公司,0.445181494,D001
MLB,8000017,沈阳瑞元禾商贸有限公司,0.440296975,D023
MLB,8000018,华初壹通国际贸易有限公司,0.439944654,D025
MLB,8000019,北京嘉尚国际时装有限公司,0.439361768,D029
MLB,8000021,新疆莘三石商贸有限公司,0.436574167,D022
MLB,8000022,西安美尚服饰商贸有限公司,0.467236775,
MLB,8000023,山西凌皓国际贸易有限公司,0.437739785,D021
MLB,8000026,武汉摩顶贸易有限公司,0.433861919,D016
MLB,8000027,沈阳固孚固贸易有限公司,0.43906499,D008
MLB,8000028,河南金安芯商贸有限公司,0.439781141,D002
MLB,8000029,西安纳霁动力商贸有限公司,0.441420631,D005
MLB,8000030,哈尔滨麟嘉商贸有限公司,0.438398111,D004
MLB,8000033,北京潮流贸易有限公司,0.460687421,D036
MLB,8000034,北京晶睿贸易发展有限公司,0.454903687,D006
MLB,8000059,杭州优溜网络技术有限公司,0.469770464,D038
MLB,8000060,江苏骏溪网络科技有限公司,0.448083056,D039
MLB,8000121,星羽宏文（沈阳）商贸有限公司,0.437884846,D045
MLB,8000180,内蒙古旭雅商贸有限公司,0.43932211,D047
MLB,8000181,长沙市珀御商贸有限公司,0.439953551,D048
MLB,8000182,青岛新航行贸易有限公司,0.432316089,
MLB,8000183,北京鑫聚盛业服装服饰有限公司,0.441316868,D049
MLB,8000187,江苏苏豪国际集团股份有限公司,0.443112446,D051
MLB,8000270,南宁市菲诺电子科技有限公司,0.435324693,D063
