전년할인율,brand,ON/OFF,fr_or_cls,REGION,SUB REGION,account_nm_cn,account_id,POS CHANNEL,New code,Original code,Store Name,PROVINCE,CITY,trade_zone,KEY STORE,UPGRADE ACTION,UPGRADE FLAG, UPGRADE DATE ,REOPEN DATE,Open Date,Open YM,Close Date,Close YM, Original Space CAD , Original Space Sell ,Original Floor,Original Shop Location Level,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
4.8430%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5072,CN5072,ML 杭州 湖滨银泰IN77C馆,浙江省,杭州市,F1,#REF!,,Y25 UPGRADE,2025-03-01,2025-03-28,2020-12-24,202012,,999999,192,151,3F,A,1489835.776,1541715.875,1104486.736,1169647.732,1190482.634,967042.7994,964386.6775,1118186.851,1192004.175,1428741.436,1318061.821,1495407.488
7.3951%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5510,CN5510,ML 杭州 银泰武林总店C馆,浙江省,杭州市,F1,#REF!,,Y25 UPGRADE,2025-04-10,2025-05-01,2021-12-24,202112,,999999,248,193,1F,A,1237220.097,1280303.437,917210.6141,971322.9498,988625.0976,803071.5904,800865.839,928587.7456,989888.6472,1186484.877,1094572.033,1241847.073
2.8951%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5071,CN5071,ML 合肥 万象城北区,安徽省,合肥市,F1,#REF!,,Y24 UPGRADE,2024-07-27,2024-07-27,2021-01-01,202101,,999999,363,340,4F,A,1289931.243,1334850.126,956287.9152,1012705.68,1030744.977,837286.0552,834986.3289,968149.7637,1032062.36,1237034.474,1141205.729,1294755.348
6.0569%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5715,CN5715,ML 杭州 大厦购物城C馆,浙江省,杭州市,F2,#REF!,,Existing,,,2022-07-15,202207,,999999,136,119,3F,A,372956.219,385943.56,276490.3378,292802.3362,298018.0158,242083.4778,241418.5608,279919.9394,298398.9089,357662.242,329955.3957,374351.0066
0.9211%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5528,CN5528,ML 安庆 新城吾悦,安徽省,安庆市,F3,#REF!,,Existing,,,2022-01-15,202201,,999999,192,164,1F,,785244.893,709106.9677,508004.9141,537975.4923,647558.4343,444788.0432,443566.369,514306.2353,548258.262,657144.7593,606238.0471,687807.5828
4.5669%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5110,CN5110,ML 杭州 金沙龙湖天街,浙江省,杭州市,F3,#REF!,,Existing,,,2021-03-26,202103,,999999,170,137,1F,,381907.1682,395206.2055,283126.106,299829.5922,305170.4481,247893.4813,247212.6062,286638.0179,305560.4827,366246.1358,337874.3252,383335.4308
12.0414%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5164,CN5164,ML 宿州 埇桥万达,安徽省,宿州市,F3,#REF!,,Y26 CLOSE,,,2021-05-01,202105,2026-03-31,202603,271,223,1F,,370000,370000,170000,0,0,0,0,0,0,0,0,0
28.0707%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FO,CN6391,CN6391,ML 合肥 杉杉奥莱 FO,安徽省,合肥市,O1,#REF!,,Existing,,,2024-12-07,202412,,999999,391,306,1F,,1030000,500000,760000,590000,700000,800000,600000,700000,700000,650000,800000,900000
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN5921,CN5921,ML 合肥 砂之船奥莱 POP,安徽省,合肥市,POP-UP,#REF!,,OTHERS,,,2022-12-16,202212,2023-01-31,202301,100,100,1F,,0,0,0,0,0,0,0,0,0,0,0,0
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN5757,CN5757,ML 湖州 安吉浙北大厦 POP,浙江省,湖州市,POP-UP,#REF!,,OTHERS,,,2022-08-16,202208,2022-10-30,202210,53,50,1F,,0,0,0,0,0,0,0,0,0,0,0,0
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN4093,CN4093,MLB 杭州宇振 合肥内购仓,浙江省,杭州市,DC,#REF!,,OTHERS,,,2020-01-01,202001,,999999,,,,,0,0,0,0,0,0,0,0,0,0,0,0
62.3923%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN4031,CN4031,MLB 杭州宇振内购仓,浙江省,杭州市,DC,#REF!,,OTHERS,,,2020-01-01,202001,,999999,,,,,25035,40691,212819,32190,1947788,43135,225414,56283,40591,16116,342250,0
8.8026%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5111,CN5111,ML 宁波 阪急,浙江省,宁波市,F1,#REF!,,Y24 UPGRADE,2024-07-20,2024-07-20,2021-04-16,202104,,999999,219,174,4F,A,644468.3464,666910.4718,477775.3038,505962.4369,514975.1312,418320.2497,417171.273,483701.6552,515633.3146,618040.3541,570162.9238,646878.5394
5.5989%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5183,CN5183,ML 温州 万象城,浙江省,温州市,F1,#REF!,,Y25 UPGRADE,2025-03-01,2025-04-04,2021-05-28,202105,,999999,238,192,2F,A,1115885.007,1154743.132,827259.0908,876064.5898,891669.9032,724313.7656,722324.3339,837520.4586,892809.5355,1070125.428,987226.5441,1120058.212
5.4099%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5088,CN5088,ML 杭州 滨江龙湖,浙江省,杭州市,F2,#REF!,,Y24 UPGRADE,2024-06-30,2024-06-30,2021-01-22,202101,,999999,237,185,1F,A,947806.0711,980811.2339,702654.1119,744108.3369,757363.1174,615214.8116,613525.0358,711369.8726,758331.0939,908938.9776,838526.6457,951350.6915
4.0774%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6198,CN6198,ML 杭州 城北万象城,浙江省,杭州市,F2,#REF!,,Existing,,,2023-11-10,202311,,999999,180,140,1F,A,623582.7981,645297.6324,462291.8449,489565.506,498286.1224,404763.5749,403651.8336,468026.1386,498922.9757,598011.2686,551685.4217,625914.883
7.4710%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5279,CN5279,ML 杭州 城西银泰百货,浙江省,杭州市,F2,#REF!,,Y26 Upgrade,2026-09-01,2026-10-01,2021-07-23,202107,,999999,182,156,B1,A,1000000,1000000,702654.1119,744108.3369,757363.1174,615214.8116,613525.0358,711369.8726,458331.0939,908938.9776,938526.6457,951350.6915
8.0068%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5060,CN5060,ML 杭州 嘉里中心,浙江省,杭州市,F2,#REF!,,Existing,,,2020-12-11,202012,,999999,287,240,B1,A,455503.8621,471365.7347,337686.866,357609.2532,363979.3366,295664.6209,294852.5356,341875.5526,364444.5341,436824.8182,402985.5233,457207.3627
5.8394%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5090,CN5090,ML 杭州 临平银泰城,浙江省,杭州市,F2,#REF!,,Y24 UPGRADE,2024-11-08,2024-11-08,2021-01-29,202101,,999999,198,175,1F,A,919958.6734,951994.1148,682009.5,722245.7625,735111.1056,597139.2453,595499.1166,690469.1838,736050.642,882233.5302,813889.9762,923399.1496
7.0715%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5168,CN5168,ML 杭州 西溪印象城,浙江省,杭州市,F2,#REF!,,Y25 UPGRADE,2025-07-31,2025-08-31,2021-05-01,202105,,999999,190,135,1F,A,916975.0237,948906.5663,679797.5773,719903.3438,732726.9614,595202.5774,593567.7681,688229.8243,733663.4507,879372.2323,811250.333,920404.3416
4.0735%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6316,CN6316,ML 合肥 包河万象汇,安徽省,合肥市,F2,#REF!,,Existing,,,2024-05-25,202405,,999999,221,177,1F,A,740000,340000,460000,450000,480000,430000,390000,400000,390000,680000,730000,700000
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5049,CN5049,ML 合肥 天鹅湖万达,安徽省,合肥市,F2,#REF!,,CLOSED,,,2020-11-22,202011,2023-10-07,202310,184,161,1F,,0,0,0,0,0,0,0,0,0,0,0,0
5.4671%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5844,CN5844,ML 合肥 之心城,安徽省,合肥市,F2,#REF!,,Y25 UPGRADE,2025-07-01,2025-07-26,2022-10-01,202210,,999999,291,234,2F,A,686239.4429,710136.1505,508742.2216,538756.2985,548353.149,445433.5992,444210.1518,515052.6885,549053.9924,658098.5252,607117.9282,688805.8522
7.0805%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5165,CN5165,ML 湖州 浙北大厦,浙江省,湖州市,F2,#REF!,,Y24 UPGRADE,2024-09-20,2024-09-20,2021-05-01,202105,,999999,152,146,5F,A,973664.369,1007569.987,721824.1087,764409.2989,778025.6998,631999.2661,630263.3894,730777.6551,779020.0849,933736.8931,861403.5532,977305.6946
0.8906%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5167,CN5167,ML 嘉兴 八佰伴,浙江省,嘉兴市,F2,#REF!,,Y25 UPGRADE,2025-06-10,2025-07-05,2021-05-01,202105,,999999,232,188,5F,A,1804113.55,1866937.648,1337475.928,1416382.501,1441612.482,1171038.477,1167822.051,1354066.053,1443454.989,1730131.485,1596104.234,1810860.603
6.7145%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5382,CN5382,ML 金华 义乌之心,浙江省,金华市,F2,#REF!,,Y26 Upgrade,2026-05-16,2026-06-15,2021-10-01,202110,,999999,150,126,1F,A,1768854.761,1826968.783,1237202.098,1310192.854,833531.2812,1083242.869,1080267.587,1252548.422,1335235.651,1600419.312,1676440.411,1675095.971
5.4931%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5372,CN5372,ML 马鞍山 金鹰,安徽省,马鞍山市,F2,#REF!,,Y26 Upgrade,2026-04-01,2026-05-01,2021-09-11,202109,,999999,170,137,1F,A,1660000,760000,690000,120000,540000,610000,500000,550000,440000,630000,580000,830000
