account_id,sap_cd,account_nm_cn,store_cd,店仓名称,매장인원수,임차료 ,수수료율,인테리어,평균급여,보험율, bonus(매출기준%),Store Area,Open date,Closed date,Open Month,Amortization end Month,Closed Month,Store Type,Trade Zone ,Remodeling Date,Remodeling end Month
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6505,MK 哈尔滨 枫叶小镇二店 FO,13,"20,000.00",0.11,"6,000.00","6,000.00",0.23,0.13,90,2026-04-30,,202604,202804,,FO,O2,,202804
D005,8000029,西安纳霁动力商贸有限公司,CN6502,ML 西安 CCBD万象城,6,"120,000.00",0.2,"30,000.00",4000,0.25,0.04,165,2026-01-20,,202601,202801,,FP,F2,,202801
D048,8000181,长沙市珀御商贸有限公司,CN6500,ML 张家界 奇峰广场,5,"68,000.00",0,"38,888.89","6,000.00",0.2,0.04,182,2026-01-01,,202601,202801,,FP,F3,,202801
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6499,ML 伊春 大商百货大楼,5,"45,000.00",0.15,"17,000.00","4,500.00",0.26,0.04,182,2025-12-24,,202512,202712,,FP,F3,,202712
D001,8000015,上海凌博商贸有限公司,CN6496,ML 南通 万象城 （新）,7,"168,210.38",0,"27,083.33","5,211.59",0.25,0.03,163,2026-01-01,,202601,202801,,FP,F1,,202801
D073,8000413,山东德峻丰品牌管理有限公司,CN6495,ML 烟台 龙口 嘉元保利广场,6,"58,880.00",0,"35,848.04","7,915.00",0.26,0.03,177,2026-01-01,,202601,202801,,FP,F3,,202801
D014,8000006,重庆渲格商贸有限公司,CN6494,ML 贵阳 亨特,6,"110,420.69",0,"27,083.33","1,875.00",0.3,0.04,204,2026-01-01,,202601,202801,,FP,F2,,202801
D031,8000010,成都莱恒商贸有限公司,CN6493,ML 重庆 开州新世纪,5,"96,000.00",0,"34,800.00","6,177.00",0.21,0.04,199,2025-12-20,,202512,202712,,FP,F3,,202712
D001,8000015,上海凌博商贸有限公司,CN6492,ML 扬州 宝应吾悦,5,"36,000.00",0,"45,000.00","5,460.00",0.24,0.03,336,2025-12-05,,202512,202712,,FP,F3,,202712
D029,8000019,北京嘉尚国际时装有限公司,CN6491,ML 北京 环球奥莱 FO,9,"14,393.33",0.13,"35,394.37",5500,0.32,0.04,260,2025-12-19,,202512,202712,,FO,O2,,202712
D021,8000023,山西凌皓国际贸易有限公司,CN6490,ML 太原 昌盛万达,7,"45,105.58",0,"14,722.22","5,083.33",0.11,0.02,156,2025-12-12,,202512,202712,,FP,F3,,202712
